./testForProjectRootMapping - file(s) not in client view.

w32:./testForProjectRootMapping - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VFXManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/XRSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Packages/manifest.json - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Packages/packages-lock.json - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Packages/manifest.json - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Packages/packages-lock.json - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/AudioManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/DynamicsManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/EditorSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/InputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/PresetManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ProjectVersion.txt - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/QualitySettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TagManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TimeManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TimelineSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VFXManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/XRSettings.asset - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.\n
./testForProjectRootMapping - file(s) not in client view.

w32:./testForProjectRootMapping - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/AudioManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/DynamicsManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/EditorSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/InputManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/PresetManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ProjectVersion.txt - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/QualitySettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TagManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TimeManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TimelineSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VFXManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/XRSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Packages/manifest.json - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Packages/packages-lock.json - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Packages/manifest.json - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Packages/packages-lock.json - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/AudioManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/DynamicsManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/EditorSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/InputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/PresetManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ProjectVersion.txt - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/QualitySettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TagManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TimeManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TimelineSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VFXManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/XRSettings.asset - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/New Folder.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/New Folder.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Materials.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Materials.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/UI.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/UI.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay/Character.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay/Character.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay/Interactables.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay/Interactables.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay/Environment.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Art/Gameplay/Environment.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs/UI.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs/UI.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs/Gameplay.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Prefabs/Gameplay.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/0_MainMenu.unity - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/0_MainMenu.unity.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/0_MainMenu.unity - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/0_MainMenu.unity.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/0_Game.unity - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/0_Game.unity.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/0_Game.unity - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/0_Game.unity.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/TestScenes.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scenes/TestScenes.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/Managers.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/Managers.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/Camera.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/Camera.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/New Folder.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/New Folder.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/New Folder.meta - file(s) not on client.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/New Folder.meta - file(s) not on client.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/Gameplay.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts.meta - file(s) not in client view.\n
w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Scripts/Gameplay.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Audio.meta - file(s) not in client view.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/_Audio.meta - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/New Folder.meta - file(s) not on client.

w1:G:/2. Perforce/2022_GP2_Team12/Movr_Team12/Assets/New Folder.meta - file(s) not on client.\n
./testForProjectRootMapping - file(s) not in client view.

w32:./testForProjectRootMapping - file(s) not in client view.\n
G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/AudioManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/DynamicsManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/InputManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PresetManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectVersion.txt - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/QualitySettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TagManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimeManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimelineSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VFXManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/XRSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/manifest.json - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/packages-lock.json - file(s) not in client view.

w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/manifest.json - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/packages-lock.json - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/AudioManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/DynamicsManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/InputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PresetManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectVersion.txt - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/QualitySettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TagManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimeManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimelineSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VFXManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/XRSettings.asset - file(s) not in client view.\n
./testForProjectRootMapping - file(s) not in client view.

w32:./testForProjectRootMapping - file(s) not in client view.\n
G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/AudioManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.

